진료년도,상별구분,시도,시군구,성별,연령구분,환자수,입내원일수,요양급여비용
2018,ADHD,서울,강남구,남,0~9세,437,3330,188836790
2018,ADHD,서울,강남구,남,10~19세,1111,8869,563498480
2018,ADHD,서울,강남구,남,20~29세,456,3485,213248290
2018,ADHD,서울,강남구,남,30~39세,174,1357,72761750
2018,ADHD,서울,강남구,남,40~49세,55,357,21611080
2018,ADHD,서울,강남구,남,50~59세,20,131,8719580
2018,ADHD,서울,강남구,남,60~69세,0,0,0
2018,ADHD,서울,강남구,남,70~79세,0,0,0
2018,ADHD,서울,강남구,남,80~89세,0,0,0
2018,ADHD,서울,강남구,남,90~99세,0,0,0
2018,ADHD,서울,강남구,남,100세 이상,0,0,0
2018,ADHD,서울,강남구,여,0~9세,95,671,40611900
2018,ADHD,서울,강남구,여,10~19세,327,2437,150243440
2018,ADHD,서울,강남구,여,20~29세,268,1788,107614200
2018,ADHD,서울,강남구,여,30~39세,104,638,37167510
2018,ADHD,서울,강남구,여,40~49세,31,150,8989670
2018,ADHD,서울,강남구,여,50~59세,0,0,0
2018,ADHD,서울,강남구,여,60~69세,0,0,0
2018,ADHD,서울,강남구,여,70~79세,0,0,0
2018,ADHD,서울,강남구,여,80~89세,0,0,0
2018,ADHD,서울,강남구,여,90~99세,0,0,0
2018,ADHD,서울,강남구,여,100세 이상,0,0,0
2018,ADHD,서울,강동구,남,0~9세,242,3322,139324590
2018,ADHD,서울,강동구,남,10~19세,375,4620,224332400
2018,ADHD,서울,강동구,남,20~29세,53,384,17327480
2018,ADHD,서울,강동구,남,30~39세,20,213,11352370
2018,ADHD,서울,강동구,남,40~49세,10,130,6790300
2018,ADHD,서울,강동구,남,50~59세,0,0,0
2018,ADHD,서울,강동구,남,60~69세,0,0,0
2018,ADHD,서울,강동구,남,70~79세,0,0,0
2018,ADHD,서울,강동구,남,80~89세,0,0,0
2018,ADHD,서울,강동구,남,90~99세,0,0,0
2018,ADHD,서울,강동구,남,100세 이상,0,0,0
2018,ADHD,서울,강동구,여,0~9세,59,579,24519500
2018,ADHD,서울,강동구,여,10~19세,108,1219,53047390
2018,ADHD,서울,강동구,여,20~29세,30,216,11086910
2018,ADHD,서울,강동구,여,30~39세,21,192,9504150
2018,ADHD,서울,강동구,여,40~49세,0,0,0
2018,ADHD,서울,강동구,여,50~59세,0,0,0
2018,ADHD,서울,강동구,여,60~69세,0,0,0
2018,ADHD,서울,강동구,여,70~79세,0,0,0
2018,ADHD,서울,강동구,여,80~89세,0,0,0
2018,ADHD,서울,강동구,여,90~99세,0,0,0
2018,ADHD,서울,강동구,여,100세 이상,0,0,0
2018,ADHD,서울,강서구,남,0~9세,149,1276,51317140
2018,ADHD,서울,강서구,남,10~19세,294,2453,111963990
2018,ADHD,서울,강서구,남,20~29세,54,374,21081300
2018,ADHD,서울,강서구,남,30~39세,32,188,11300200
2018,ADHD,서울,강서구,남,40~49세,0,0,0
2018,ADHD,서울,강서구,남,50~59세,0,0,0
2018,ADHD,서울,강서구,남,60~69세,0,0,0
2018,ADHD,서울,강서구,남,70~79세,0,0,0
2018,ADHD,서울,강서구,남,80~89세,0,0,0
2018,ADHD,서울,강서구,남,90~99세,0,0,0
2018,ADHD,서울,강서구,남,100세 이상,0,0,0
2018,ADHD,서울,강서구,여,0~9세,18,153,5756870
2018,ADHD,서울,강서구,여,10~19세,66,617,28215070
2018,ADHD,서울,강서구,여,20~29세,34,174,9236180
2018,ADHD,서울,강서구,여,30~39세,10,68,3689510
2018,ADHD,서울,강서구,여,40~49세,0,0,0
2018,ADHD,서울,강서구,여,50~59세,0,0,0
2018,ADHD,서울,강서구,여,60~69세,0,0,0
2018,ADHD,서울,강서구,여,70~79세,0,0,0
2018,ADHD,서울,강서구,여,80~89세,0,0,0
2018,ADHD,서울,강서구,여,90~99세,0,0,0
2018,ADHD,서울,강서구,여,100세 이상,0,0,0
2018,ADHD,서울,관악구,남,0~9세,100,748,59251420
2018,ADHD,서울,관악구,남,10~19세,165,1297,136568470
2018,ADHD,서울,관악구,남,20~29세,81,457,30265530
2018,ADHD,서울,관악구,남,30~39세,33,169,13542510
2018,ADHD,서울,관악구,남,40~49세,0,0,0
2018,ADHD,서울,관악구,남,50~59세,0,0,0
2018,ADHD,서울,관악구,남,60~69세,0,0,0
2018,ADHD,서울,관악구,남,70~79세,0,0,0
2018,ADHD,서울,관악구,남,80~89세,0,0,0
2018,ADHD,서울,관악구,남,90~99세,0,0,0
2018,ADHD,서울,관악구,남,100세 이상,0,0,0
2018,ADHD,서울,관악구,여,0~9세,17,116,8739810
2018,ADHD,서울,관악구,여,10~19세,30,189,19460680
2018,ADHD,서울,관악구,여,20~29세,46,241,19153140
2018,ADHD,서울,관악구,여,30~39세,12,92,7924950
2018,ADHD,서울,관악구,여,40~49세,0,0,0
2018,ADHD,서울,관악구,여,50~59세,0,0,0
2018,ADHD,서울,관악구,여,60~69세,0,0,0
2018,ADHD,서울,관악구,여,70~79세,0,0,0
2018,ADHD,서울,관악구,여,80~89세,0,0,0
2018,ADHD,서울,관악구,여,90~99세,0,0,0
2018,ADHD,서울,관악구,여,100세 이상,0,0,0
2018,ADHD,서울,구로구,남,0~9세,254,2296,100631000
2018,ADHD,서울,구로구,남,10~19세,297,3329,142055030
2018,ADHD,서울,구로구,남,20~29세,76,421,23825720
2018,ADHD,서울,구로구,남,30~39세,31,166,8098520
2018,ADHD,서울,구로구,남,40~49세,14,88,4996790
2018,ADHD,서울,구로구,남,50~59세,0,0,0
2018,ADHD,서울,구로구,남,60~69세,0,0,0
2018,ADHD,서울,구로구,남,70~79세,0,0,0
2018,ADHD,서울,구로구,남,80~89세,0,0,0
2018,ADHD,서울,구로구,남,90~99세,0,0,0
2018,ADHD,서울,구로구,남,100세 이상,0,0,0
2018,ADHD,서울,구로구,여,0~9세,58,540,25902650
2018,ADHD,서울,구로구,여,10~19세,76,557,26441460
2018,ADHD,서울,구로구,여,20~29세,65,402,24930720
2018,ADHD,서울,구로구,여,30~39세,27,200,12735610
2018,ADHD,서울,구로구,여,40~49세,0,0,0
2018,ADHD,서울,구로구,여,50~59세,0,0,0
2018,ADHD,서울,구로구,여,60~69세,0,0,0
2018,ADHD,서울,구로구,여,70~79세,0,0,0
2018,ADHD,서울,구로구,여,80~89세,0,0,0
2018,ADHD,서울,구로구,여,90~99세,0,0,0
2018,ADHD,서울,구로구,여,100세 이상,0,0,0
2018,ADHD,서울,도봉구,남,0~9세,65,500,27602750
2018,ADHD,서울,도봉구,남,10~19세,107,1309,90364870
2018,ADHD,서울,도봉구,남,20~29세,20,188,11841750
2018,ADHD,서울,도봉구,남,30~39세,0,0,0
2018,ADHD,서울,도봉구,남,40~49세,0,0,0
2018,ADHD,서울,도봉구,남,50~59세,0,0,0
2018,ADHD,서울,도봉구,남,60~69세,0,0,0
2018,ADHD,서울,도봉구,남,70~79세,0,0,0
2018,ADHD,서울,도봉구,남,80~89세,0,0,0
2018,ADHD,서울,도봉구,남,90~99세,0,0,0
2018,ADHD,서울,도봉구,남,100세 이상,0,0,0
2018,ADHD,서울,도봉구,여,0~9세,10,105,5581530
2018,ADHD,서울,도봉구,여,10~19세,42,508,38263650
2018,ADHD,서울,도봉구,여,20~29세,0,0,0
2018,ADHD,서울,도봉구,여,30~39세,0,0,0
2018,ADHD,서울,도봉구,여,40~49세,0,0,0
2018,ADHD,서울,도봉구,여,50~59세,0,0,0
2018,ADHD,서울,도봉구,여,60~69세,0,0,0
